Time,Currency,Cash Rate,
10:21,Japanese Yen (JPY),0.2978,0.3088
10:21,Japanese Yen (JPY),0.298,0.309
10:21,Japanese Yen (JPY),0.298,0.309
10:22,Japanese Yen (JPY),0.2985,0.3095
10:22,Japanese Yen (JPY),0.2985,0.3095
10:23,Japanese Yen (JPY),0.2991,0.3101
10:23,Japanese Yen (JPY),0.2999,0.3109
10:24,Japanese Yen (JPY),0.3004,0.3114
10:24,Japanese Yen (JPY),0.3,0.311
10:24,Japanese Yen (JPY),0.2996,0.3106
10:25,Japanese Yen (JPY),0.2999,0.3109
10:26,Japanese Yen (JPY),0.3002,0.3112
10:26,Japanese Yen (JPY),0.3,0.311
10:29,Japanese Yen (JPY),0.2992,0.3102
10:30,Japanese Yen (JPY),0.299,0.31
10:32,Japanese Yen (JPY),0.2989,0.3099
10:33,Japanese Yen (JPY),0.2993,0.3103
10:34,Japanese Yen (JPY),0.2994,0.3104
10:36,Japanese Yen (JPY),0.3001,0.3111
10:38,Japanese Yen (JPY),0.2997,0.3107
10:38,Japanese Yen (JPY),0.3001,0.3111
10:40,Japanese Yen (JPY),0.2994,0.3104
10:41,Japanese Yen (JPY),0.2988,0.3098
10:43,Japanese Yen (JPY),0.2996,0.3106
10:45,Japanese Yen (JPY),0.2988,0.3098
10:45,Japanese Yen (JPY),0.2987,0.3097
10:52,Japanese Yen (JPY),0.2991,0.3101
10:53,Japanese Yen (JPY),0.2984,0.3094
10:56,Japanese Yen (JPY),0.2972,0.3082
10:57,Japanese Yen (JPY),0.2973,0.3083
10:57,Japanese Yen (JPY),0.2978,0.3088
10:57,Japanese Yen (JPY),0.2982,0.3092
10:59,Japanese Yen (JPY),0.2979,0.3089
11:04,Japanese Yen (JPY),0.2987,0.3097
11:04,Japanese Yen (JPY),0.2989,0.3099
11:10,Japanese Yen (JPY),0.3001,0.3111
11:11,Japanese Yen (JPY),0.3001,0.3111
11:11,Japanese Yen (JPY),0.3,0.311
11:13,Japanese Yen (JPY),0.301,0.312
11:15,Japanese Yen (JPY),0.3012,0.3122
11:15,Japanese Yen (JPY),0.3013,0.3123
11:17,Japanese Yen (JPY),0.3002,0.3112
11:17,Japanese Yen (JPY),0.3003,0.3113
11:19,Japanese Yen (JPY),0.3004,0.3114
11:20,Japanese Yen (JPY),0.3006,0.3116
11:23,Japanese Yen (JPY),0.3013,0.3123
11:25,Japanese Yen (JPY),0.3021,0.3131
11:26,Japanese Yen (JPY),0.302,0.313
11:28,Japanese Yen (JPY),0.3021,0.3131
11:29,Japanese Yen (JPY),0.302,0.313
11:31,Japanese Yen (JPY),0.3017,0.3127
11:34,Japanese Yen (JPY),0.302,0.313
11:37,Japanese Yen (JPY),0.2998,0.3108
11:37,Japanese Yen (JPY),0.3003,0.3113
11:38,Japanese Yen (JPY),0.301,0.312
11:43,Japanese Yen (JPY),0.3007,0.3117
11:49,Japanese Yen (JPY),0.3003,0.3113
11:53,Japanese Yen (JPY),0.3005,0.3115
11:55,Japanese Yen (JPY),0.3009,0.3119
12:01,Japanese Yen (JPY),0.3015,0.3125
12:02,Japanese Yen (JPY),0.3007,0.3117
12:07,Japanese Yen (JPY),0.3014,0.3124
12:11,Japanese Yen (JPY),0.3014,0.3124
12:17,Japanese Yen (JPY),0.3007,0.3117
12:24,Japanese Yen (JPY),0.3012,0.3122
12:33,Japanese Yen (JPY),0.3016,0.3126
12:37,Japanese Yen (JPY),0.302,0.313
12:38,Japanese Yen (JPY),0.302,0.313
12:52,Japanese Yen (JPY),0.3025,0.3135
12:56,Japanese Yen (JPY),0.3024,0.3134
12:58,Japanese Yen (JPY),0.3027,0.3137
13:08,Japanese Yen (JPY),0.3029,0.3139
13:26,Japanese Yen (JPY),0.3017,0.3127
13:58,Japanese Yen (JPY),0.3012,0.3122
14:01,Japanese Yen (JPY),0.3014,0.3124
14:01,Japanese Yen (JPY),0.3016,0.3126
14:02,Japanese Yen (JPY),0.3014,0.3124
14:04,Japanese Yen (JPY),0.3014,0.3124
14:05,Japanese Yen (JPY),0.3014,0.3124
14:09,Japanese Yen (JPY),0.3011,0.3121
14:11,Japanese Yen (JPY),0.301,0.312
14:13,Japanese Yen (JPY),0.3009,0.3119
14:14,Japanese Yen (JPY),0.3,0.311
14:14,Japanese Yen (JPY),0.3002,0.3112
14:14,Japanese Yen (JPY),0.3003,0.3113
14:15,Japanese Yen (JPY),0.2999,0.3109
14:16,Japanese Yen (JPY),0.2999,0.3109
14:17,Japanese Yen (JPY),0.2999,0.3109
14:22,Japanese Yen (JPY),0.2991,0.3101
14:25,Japanese Yen (JPY),0.2987,0.3097
14:26,Japanese Yen (JPY),0.299,0.31
14:27,Japanese Yen (JPY),0.2988,0.3098
14:30,Japanese Yen (JPY),0.2994,0.3104
14:35,Japanese Yen (JPY),0.2993,0.3103
14:36,Japanese Yen (JPY),0.2995,0.3105
14:37,Japanese Yen (JPY),0.3,0.311
14:38,Japanese Yen (JPY),0.3003,0.3113
14:39,Japanese Yen (JPY),0.3008,0.3118
14:40,Japanese Yen (JPY),0.3003,0.3113
14:41,Japanese Yen (JPY),0.3004,0.3114
14:44,Japanese Yen (JPY),0.3001,0.3111
14:47,Japanese Yen (JPY),0.2993,0.3103
14:59,Japanese Yen (JPY),0.2994,0.3104
15:01,Japanese Yen (JPY),0.2991,0.3101
15:04,Japanese Yen (JPY),0.2988,0.3098
15:06,Japanese Yen (JPY),0.2987,0.3097
15:18,Japanese Yen (JPY),0.299,0.31
15:22,Japanese Yen (JPY),0.299,0.31
15:27,Japanese Yen (JPY),0.2987,0.3097
15:30,Japanese Yen (JPY),0.299,0.31
15:33,Japanese Yen (JPY),0.2984,0.3094
15:36,Japanese Yen (JPY),0.2984,0.3094
15:44,Japanese Yen (JPY),0.2981,0.3091
16:12,Japanese Yen (JPY),0.2956,0.3066
